de_para_skyfall	45
	2444	Sony mete móviles en los refrescos del estreno de Skyfall para promocionar sus smartphones sumergibles http://lacriaturacreativa
	2472	Sony mete móviles en los refrescos del estreno de Skyfall para promocionar sus smartphones sumergibles http://lacriaturacreativa
	3577	Sony mete móviles en los refrescos del estreno de Skyfall para promocionar sus smartphones sumergibles http://bit
	3601	Sony mete móviles en los refrescos del estreno de Skyfall para promocionar sus smartphones sumergibles http://bit
	6571	Acabei de usar o #Shazam para descobrir a Skyfall de Adele
	6599	Acabei de usar o #Shazam para descobrir a Skyfall de Adele
	6628	Acabei de usar o #Shazam para descobrir a Skyfall de Adele
	7678	Sony mete móviles en los refrescos del estreno de Skyfall para promocionar sus #smartphones sumergibles http://ow
	7700	Sony mete móviles en los refrescos del estreno de Skyfall para promocionar sus #smartphones sumergibles http://ow
	7721	Sony mete móviles en los refrescos del estreno de Skyfall para promocionar sus #smartphones sumergibles http://ow
	10558	Acabo de utilizar #Shazam para buscar Skyfall de Adele
	10908	Sony mete móviles en los refrescos del estreno de Skyfall para promocionar sus
	11646	Sony mete móviles en los refrescos del estreno de Skyfall para promocionar sus 
	11683	Sony mete móviles en los refrescos del estreno de Skyfall para promocionar sus 
	17017	Para poner en práctica esta semana: Dejar de escuchar Skyfall 16 veces por día #LCDTMAdele

	17047	Para poner en práctica esta semana: Dejar de escuchar Skyfall 16 veces por día #LCDTMAdele

	17095	Adele con Skyfall para iniciar la jornada de la muerte

	17122	Adele con Skyfall para iniciar la jornada de la muerte

	17446	Comentaram de um vacilo na continuidade de Skyfall no começo, AI QUE TRISTE QUE TEREI QUE IR VER A QUARTA VEZ PARA OBSERVAR, POXA
	17478	Comentaram de um vacilo na continuidade de Skyfall no começo, AI QUE TRISTE QUE TEREI QUE IR VER A QUARTA VEZ PARA OBSERVAR, POXA
	18282	Acabo de utilizar Shazam para buscar Skyfall de Adele
	21027	Acabo de utilizar #Shazam para taguear Skyfall de Adele
	23579	Acabei de usar o Shazam para descobrir a Skyfall de Adele
	23799	De Skyfall aprendí que no tienes que pasar las pruebas para ser un chingón en la vida
	25344	Tenho de me inspirar na missão skyfall para passar sem provão 
	25359	Aprovecha este lunes para ir a ver la nueva película de James Bond Skyfall
	25369	Tenho de me inspirar na missão skyfall para passar sem provão 
	25384	Aprovecha este lunes para ir a ver la nueva película de James Bond Skyfall
	26677	FELICIDADES A LOS GANADORES DE LOS BOLETOS DOBLES PARA EL ESTRENO DE LA PELICULA 007 SKYFALL EN REYNOSA: Carlos
	27044	Bardem en Skyfall me recuerda, en algunos gestos y muecas, a su personaje de Boca a Boca, cuando fingía ser gay para ligarse a Flotats
	27070	Bardem en Skyfall me recuerda, en algunos gestos y muecas, a su personaje de Boca a Boca, cuando fingía ser gay para ligarse a Flotats
	27952	Me tocará ir al cine a ver 007, sólo para escuchar Skyfall de Adele
	27978	Me tocará ir al cine a ver 007, sólo para escuchar Skyfall de Adele
	28604	ly/fdzVR&nbsp; Sony mete móviles en los refrescos del estreno de Skyfall para promocionar sus smartphones sumergibles

	28628	ly/fdzVR&nbsp; Sony mete móviles en los refrescos del estreno de Skyfall para promocionar sus smartphones sumergibles

	28656	ly/fdzVR&nbsp; Sony mete móviles en los refrescos del estreno de Skyfall para promocionar sus smartphones sumergibles

	30313	@SebaDeCaro Me pareció muy copada la persecución en moto de Skyfall, algunas otras para recomendar Maestro
	30339	@SebaDeCaro Me pareció muy copada la persecución en moto de Skyfall, algunas otras para recomendar Maestro
	30694	 Acabo de receber o convite para o lançamento do filme 007, operação skyfall
	30724	 Acabo de receber o convite para o lançamento do filme 007, operação skyfall
	31149	 Acabo de receber o convite para o lançamento do filme 007, operação skyfall
	31184	 Acabo de receber o convite para o lançamento do filme 007, operação skyfall
	33844	 Benvenidos al SHOW DE LA BUENA EL MALO Y EL FEO hoy tenemos boletos para 007 SKYFALL, NOTICIAS,
	33865	 Benvenidos al SHOW DE LA BUENA EL MALO Y EL FEO hoy tenemos boletos para 007 SKYFALL, NOTICIAS,
	34036	La canción de Adele para Skyfall es cualquier vaina con muchos arreglos musicales para agregarle drama

