dark_knight_rises	46
	1688	 Skyfall becomes Dark Knight Rises in the last third
	1717	 Skyfall becomes Dark Knight Rises in the last third
	8491	Bond beats Batman at the UK box office as Skyfall overtakes Dark Knight Rises, becoming the biggest 007 film ever: http://go
	8516	Bond beats Batman at the UK box office as Skyfall overtakes Dark Knight Rises, becoming the biggest 007 film ever: http://go
	9477	“@IGNUK: Bond beats Batman at the UK box office as Skyfall overtakes Dark Knight Rises: http://go
	9497	“@IGNUK: Bond beats Batman at the UK box office as Skyfall overtakes Dark Knight Rises: http://go
	10673	 Skyfall is better than The Dark Knight Rises
	11927	The Dark Knight Rises and Skyfall are the best films I&#39;ve seen this year

	11952	The Dark Knight Rises and Skyfall are the best films I&#39;ve seen this year

	12112	 Dark Knight Rises gets a silver medal

	12137	 Dark Knight Rises gets a silver medal

	12444	Skyfall beats The Dark Knight Rises to become the biggest film of 2012 | http://Metro
	12475	Skyfall beats The Dark Knight Rises to become the biggest film of 2012 | http://Metro
	12804	 Jalan cerita di awal kek Dark Knight Rises, sing trakir koyo The Dark Knight

	12827	 Jalan cerita di awal kek Dark Knight Rises, sing trakir koyo The Dark Knight

	13311	 Pas awal&quot;nya kek The Dark Knight Rises, akhirnya kek The Dark Knight

	13337	 Pas awal&quot;nya kek The Dark Knight Rises, akhirnya kek The Dark Knight

	14456	 Eveything Dark Knight Rises should have been
	14486	 Eveything Dark Knight Rises should have been
	14717	 Eveything Dark Knight Rises should have been
	14751	 Eveything Dark Knight Rises should have been
	16116	Gw pengen nonton skyfall sama dark knight rises 
	16212	Tuh kan emang Skyfall genre filmnya jadi mirip The Dark Knight Rises 
	16226	Tuh kan emang Skyfall genre filmnya jadi mirip The Dark Knight Rises 
	16412	 RT @raditya_aledan: Gw pengen nonton skyfall sama dark knight rises 
	18746	SKYFALL = DARK KNIGHT RISES

	18769	SKYFALL = DARK KNIGHT RISES

	20643	Seeing an action movie as great as Skyfall really makes me realize how poor The Dark Knight Rises was
	25145	 RT @jamesbondlive: &#39;Skyfall&#39; officially surpasses &#39;The Dark Knight Rises&#39; at the box office

	25514	Cannot believe @THEmichael_zell tried to compare skyfall to dark knight rises #NotEvenClose

	25531	Cannot believe @THEmichael_zell tried to compare skyfall to dark knight rises #NotEvenClose

	25543	Cannot believe @THEmichael_zell tried to compare skyfall to dark knight rises #NotEvenClose

	26672	Skyfall is a better 12A blockbuster than Dark Knight Rises
	28265	Skyfall = Dark Knight Rises
	28296	Skyfall = Dark Knight Rises
	28637	Skyfall has passed The Dark Knight Rises to become the UK&#39;s highest grossing film of the year with (cont) http://tl
	29687	dark knight rises and skyfall my top two for 2012

	29714	Finalmente vi Skyfall, es cierto que sobrepaso a Dark Knight Rises
	29734	Finalmente vi Skyfall, es cierto que sobrepaso a Dark Knight Rises
	30163	The Dark Knight Rises vs Skyfall #Bestfilmof2012

	32251	Asli film skyfall gk kalah keren sama the dark knight rises (y)

	32271	Asli film skyfall gk kalah keren sama the dark knight rises (y)

	32686	#Skyfall is the 4th best opening of the year behind The Avengers, The Dark Knight Rises, and The Hunger Games
	33285	the dark knight rises 2
	35800	The fact that Skyfall surpassed The Dark Knight Rises&#39; record in the UK astounds me
	35829	The fact that Skyfall surpassed The Dark Knight Rises&#39; record in the UK astounds me

