record_sets_bond	123
	966	&#39;Skyfall&#39; sets Bond franchise record http://usat
	988	&#39;Skyfall&#39; sets Bond franchise record http://usat
	1017	&#39;Skyfall&#39; sets Bond franchise record http://usat
	1560	RT @RollingStone: Box Office Report: &#39;Skyfall&#39; sets a James Bond franchise record #Skyfall http://flpbd
	1863	Skyfall sets James Bond film box office record in U
	1864	Skyfall sets James Bond film box office record in U
	1886	Skyfall sets James Bond film box office record in U
	1887	Skyfall sets James Bond film box office record in U
	1908	Skyfall sets James Bond film box office record in U
	1909	Skyfall sets James Bond film box office record in U
	6719	SKYFALL sets the record for the biggest opening for a Bond Movie all time in the US
	6750	SKYFALL sets the record for the biggest opening for a Bond Movie all time in the US
	12414	Skyfall sets James Bond film box office record in U
	12837	#Skyfall sets Bond franchise record http://usat
	12858	#Skyfall sets Bond franchise record http://usat
	16061	Box Office Report: Skyfall Sets a Bond Record - About - News &amp; Issues http://bit
	16084	Box Office Report: Skyfall Sets a Bond Record - About - News &amp; Issues http://bit
	16802	Headline @USATODAY: &#39;Skyfall&#39; sets Bond franchise record http://usat
	16828	Headline @USATODAY: &#39;Skyfall&#39; sets Bond franchise record http://usat
	16894	 #Skyfall&#39; sets Bond franchise record http://usat
	16965	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record: &quot;Skyfall,&quot; the latest James Bond film (this one starring Danie
	16972	Box Office Report: &#39;Skyfall&#39; Sets James Bond Franchise Record 
	16992	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record: &quot;Skyfall,&quot; the latest James Bond film (this one starring Danie
	17056	Headline @USATODAY: &#39;Skyfall&#39; sets Bond franchise record http://usat
	17084	Headline @USATODAY: &#39;Skyfall&#39; sets Bond franchise record http://usat
	17240	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record http://bit
	17261	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record http://bit
	18215	&quot;Skyfall&quot; Sets Bond Franchise Record http://bit
	18216	&quot;Skyfall&quot; Sets Bond Franchise Record http://bit
	18240	&quot;Skyfall&quot; Sets Bond Franchise Record http://bit
	18241	&quot;Skyfall&quot; Sets Bond Franchise Record http://bit
	18365	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record: &quot;Skyfall,&quot; the latest James Bond film (this one starring Danie
	18388	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record: &quot;Skyfall,&quot; the latest James Bond film (this one starring Danie
	18579	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record http://tinyurl
	18652	RT @RollingStone: Box Office Report: &#39;Skyfall&#39; sets a James Bond franchise record #Skyfall http://rol
	19407	Box Office Report: Skyfall Sets a Bond Record http://ow
	19444	Box Office Report: Skyfall Sets a Bond Record http://ow
	19559	Headline @USATODAY: &#39;Skyfall&#39; sets Bond franchise record http://usat
	19589	Headline @USATODAY: &#39;Skyfall&#39; sets Bond franchise record http://usat
	19832	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record http://bit
	19857	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record http://bit
	19959	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record http://bit
	19971	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record http://bit
	20363	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record http://bit
	20761	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record http://tinyurl
	20788	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record http://tinyurl
	20914	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record http://bit
	20945	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record http://bit
	21083	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record http://bit
	21111	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record http://bit
	21258	Box Office Report: Skyfall Sets a Bond Record: Skyfall started off its domestic release on a high note, claiming
	21260	Box Office Report: Skyfall Sets a Bond Record http://bit
	21306	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record - MetroWest Daily News http://bit
	21335	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record - MetroWest Daily News http://bit
	21590	&#39;Skyfall&#39; sets Bond franchise record http://usat
	21615	&#39;Skyfall&#39; sets Bond franchise record http://usat
	21645	&#39;Skyfall&#39; sets Bond franchise record http://usat
	21746	(Utica OD) Morning Jolt: &#39;Skyfall&#39; sets Bond movie record: &quot;Skyfall,&quot; the latest James Bond film (this one sta
	22414	Skyfall sets James Bond film box office record in U
	22415	Skyfall sets James Bond film box office record in U
	22528	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record http://bit
	22581	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record http://dlvr
	22753	#Skyfall Sets James Bond Franchise Record, Opening Weekend Pulls in $87
	23101	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record http://bit
	23126	&quot;Skyfall&quot; Puts James Bond At #1; Sets Record http://tinyurl
	24128	#Ctnews Morning Jolt: &#39;Skyfall&#39; sets Bond movie record - &amp;quot;Skyfall,&amp;quot; the latest James Bond film (this one s
	24418	&#39;Skyfall&#39; sets Bond franchise record http://usat
	24963	&amp;quot;Skyfall&amp;quot; Puts James Bond At #1; Sets Record http://shar
	24983	Headline @USATODAY: &#39;Skyfall&#39; sets Bond franchise record http://usat
	25141	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record: &quot;Skyfall,&quot; the latest James Bond film (this one starring Danie
	25362	Headline @USATODAY: &#39;Skyfall&#39; sets Bond franchise record http://usat
	25387	Headline @USATODAY: &#39;Skyfall&#39; sets Bond franchise record http://usat
	26227	Morning Jolt: &#39;Skyfall&#39; sets Bond movie record http://bit
	26351	#Skyfall sets a new Bond franchise record
	26382	&#39;Skyfall&#39; Sets New Record for Highest Bond Opening: After getting a head start by opening overseas to boffo busi
	26936	 9-11): &#39;Skyfall&#39; Sets a James Bond Opening Record with $87
	26958	 9-11): &#39;Skyfall&#39; Sets a James Bond Opening Record with $87
	27118	#TeamFollowBack James Bond sets box office record with Skyfall - Vancouver Sun: James Bond sets box
	27119	&#39;Skyfall&#39; sets Bond franchise record http://usat
	27346	&quot;Skyfall&quot; Puts James Bond At #1; Sets Record (Vibe): Share With Friends: | | Music - Rap / Hip Hop News, News 
	27368	&quot;Skyfall&quot; Puts James Bond At #1; Sets Record (Vibe): Share With Friends: | | Music - Rap / Hip Hop News, News 
	28395	James Bond sets box office record with Skyfall - @VancouverSun : http://tinyurl
	28420	James Bond sets box office record with Skyfall - @VancouverSun : http://tinyurl
	30324	&#39;Skyfall&#39; Sets North American Record for Bond Films http://www
	30555	 Morning Jolt: &#39;Skyfall&#39; sets Bond movie record http://www
	30597	 Morning Jolt: &#39;Skyfall&#39; sets Bond movie record http://www
	30787	Skyfall sets new US box office record: James Bond film debuts with a record-breaking $87
	30987	Skyfall sets new US box office record: James Bond film debuts with a record-breaking $87
	31213	James Bond sets box office record with Skyfall: James Bond can don the tuxedo and break out the Dom Perignon aft
	31216	James Bond sets box office record with Skyfall: James Bond can don the tuxedo and break out the Dom Perignon aft
	31218	James Bond sets box office record with Skyfall: James Bond can don the tuxedo and break out the Dom Perignon aft
	31243	James Bond sets box office record with Skyfall: James Bond can don the tuxedo and break out the Dom Perignon aft
	31372	&#39;Skyfall&#39; sets Bond franchise record http://usat
	31781	Box Office Report: &#39;Skyfall&#39; sets a James Bond franchise record #Skyfall http://rol
