record_de_le	34
	6171	Top Singles : record historique de ventes pour le &quot;Skyfall&quot; Adele 
	6173	Top Singles : record historique de ventes pour le &quot;Skyfall&quot; Adele 
	6175	#actumusique Top Singles : record historique de ventes pour le &quot;Skyfall&quot; Adele 
	6176	Top Singles : record historique de ventes pour le &quot;Skyfall&quot; Adele 
	6199	Top Singles : record historique de ventes pour le &quot;Skyfall&quot; Adele 
	6201	Top Singles : record historique de ventes pour le &quot;Skyfall&quot; Adele 
	6203	#actumusique Top Singles : record historique de ventes pour le &quot;Skyfall&quot; Adele 
	6204	Top Singles : record historique de ventes pour le &quot;Skyfall&quot; Adele 
	6635	Top Singles : record historique de ventes pour le &quot;Skyfall&quot; Adele 
	6658	Top Singles : record historique de ventes pour le &quot;Skyfall&quot; Adele 
	6740	Top Singles : record historique de ventes pour le &quot;Skyfall&quot; Adele 
	6770	Top Singles : record historique de ventes pour le &quot;Skyfall&quot; Adele 
	8845	Top Singles : record historique de ventes pour le &quot;Skyfall&quot; d&#39;Adele 
	8874	Top Singles : record historique de ventes pour le &quot;Skyfall&quot; d&#39;Adele 
	8970	 RT @lactualaloupe: Top Singles : record historique de ventes pour le &quot;Skyfall&quot; d&#39;Adele 
	9011	 RT @lactualaloupe: Top Singles : record historique de ventes pour le &quot;Skyfall&quot; d&#39;Adele 
	9099	RT @julie_adore: Top Singles : record historique de ventes pour le &quot;Skyfall&quot; d&#39;Adele 
	9129	RT @julie_adore: Top Singles : record historique de ventes pour le &quot;Skyfall&quot; d&#39;Adele 
	10222	Top Singles : record historique de ventes pour le &quot;Skyfall&quot; d&#39;Adele 
	10245	Top Singles : record historique de ventes pour le &quot;Skyfall&quot; d&#39;Adele 
	11057	Box Office US: SKYFALL établit un record aux Etats-Unis et dépasse les 500 millions de dollars dans le monde: SK
	11058	Box Office US: SKYFALL établit un record aux Etats-Unis et dépasse les 500 millions de dollars dans le monde http://cinema-series-tv
	11081	Box Office US: SKYFALL établit un record aux Etats-Unis et dépasse les 500 millions de dollars dans le monde: SK
	11082	Box Office US: SKYFALL établit un record aux Etats-Unis et dépasse les 500 millions de dollars dans le monde http://cinema-series-tv
	12360	Box Office US: SKYFALL établit un record aux Etats-Unis et dépasse les 500 millions de dollars dans le monde http://cinema-series-tv
	12384	Box Office US: SKYFALL établit un record aux Etats-Unis et dépasse les 500 millions de dollars dans le monde http://cinema-series-tv
	12890	Box Office US: SKYFALL établit un record aux Etats-Unis et dépasse les 500 millions de dollars dans le monde http://cinema-series-tv
	20240	Normal, la chanson tue RT @lactualaloupe: Top Singles : record historique de ventes pour le &quot;Skyfall&quot; d&#39;Adele 
	20267	Normal, la chanson tue RT @lactualaloupe: Top Singles : record historique de ventes pour le &quot;Skyfall&quot; d&#39;Adele 
	24249	Top Singles : record historique de ventes pour le &quot;Skyfall&quot; d&#39;Adele 
	25101	Boostée par la sortie en salles de &quot;Skyfall&quot;, Adele s&#39;offre le record historique de téléchargements en France &gt;&gt; http://www
	25122	Boostée par la sortie en salles de &quot;Skyfall&quot;, Adele s&#39;offre le record historique de téléchargements en France &gt;&gt; http://www
	26664	Box Office US: SKYFALL ĂŠtablit un record aux Etats-Unis et dĂŠpasse les 500 millions de dollars dans le monde http://p
	26680	Box Office US: SKYFALL ĂŠtablit un record aux Etats-Unis et dĂŠpasse les 500 millions de dollars dans le monde http://p

