record_sales_bond	38
	327	8 Million in North American Opening Week Sales, Record for Bond Film http://ngrne
	351	8 Million in North American Opening Week Sales, Record for Bond Film http://ngrne
	378	8 Million in North American Opening Week Sales, Record for Bond Film http://ngrne
	2750	8 Million in North American Opening Week Sales, Record for Bond Film http://ngrne
	2768	8 Million in North American Opening Week Sales, Record for Bond Film http://ngrne
	3172	8 Million in Sales, Record for Bond Film http://bloom
	3205	8 Million in Sales, Record for Bond Film http://bloom
	3969	8 Million in North American Opening Week Sales, Record for Bond Film http://ngrne
	3995	8 Million in North American Opening Week Sales, Record for Bond Film http://ngrne
	5982	8 Million in Sales, Record for Bond Film: “Skyfall,” the latest James Bond film and the third 
	6010	8 Million in Sales, Record for Bond Film: “Skyfall,” the latest James Bond film and the third 
	6037	8 Million in Sales, Record for Bond Film: “Skyfall,” the latest James Bond film and the third 
	10258	8 Million in North American Opening Week Sales, Record for Bond Film - http://ow
	10261	8 Million in North American Opening Week Sales, Record for Bond Film - http://ow
	10440	8 Million in North American Opening Week Sales, Record for Bond Film - http://ow
	10441	8 Million in North American Opening Week Sales, Record for Bond Film - http://ow
	10453	8 Million in North American Opening Week Sales, Record for Bond Film - http://ow
	10454	8 Million in North American Opening Week Sales, Record for Bond Film - http://ow
	10544	8 Million in North American Opening Week Sales, Record for Bond Film - http://ow
	12096	8 Million in Sales, Record for Bond Film http://lnkd
	12126	8 Million in Sales, Record for Bond Film http://lnkd
	12938	Snapshot: ‘Skyfall’ record sales for Bond film + Airlines face pilots shortage + Turkey prices gobble up Thanksg
	12939	Snapshot: ‘Skyfall’ record sales for Bond film + Airlines face pilots shortage + Turkey prices gobble up Thanksg
	12962	Snapshot: ‘Skyfall’ record sales for Bond film + Airlines face pilots shortage + Turkey prices gobble u
	12966	Snapshot: ‘Skyfall’ record sales for Bond film + Airlines face pilots shortage + Turkey prices gobble up Thanksg
	12967	Snapshot: ‘Skyfall’ record sales for Bond film + Airlines face pilots shortage + Turkey prices gobble up Thanksg
	13027	Snapshot: ‘Skyfall’ record sales for Bond film + Airlines face pilots shortage + Turkey prices gobble up
	13057	Snapshot: ‘Skyfall’ record sales for Bond film + Airlines face pilots shortage + Turkey prices gobble up
	13202	Snapshot: ‘Skyfall’ record sales for Bond film + Airlines face pilots shortage http://www
	13232	Snapshot: ‘Skyfall’ record sales for Bond film + Airlines face pilots shortage http://www
	13791	Snapshot: ‘Skyfall’ record sales for Bond film + Airlines face pilot shortage + Turkey prices gobble http://fb
	19437	Snapshot: ‘Skyfall’ record sales for Bond film + Airlines face pilots shortage + Turkey prices gobble up Thanksgivin
	28853	8 Million in Sales, Record for James Bond Film - Businessweek http://dlvr
	29826	8 Million in North American Opening Week Sales, Record for Bond Film - http://ow
	29828	8 Million in North American Opening Week Sales, Record for Bond Film - http://ow
	29854	8 Million in North American Opening Week Sales, Record for Bond Film - http://ow
	33752	8 million in ticket sales during its opening weekend, a record for the James Bond franchise | http://bloom
	35329	8 Million in Sales, Record for Bond Film - Bloomberg via @BloombergNow http://bloom

