fan_artsy_bond	33
	26920	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007: Commentator Chris Klimek is a longtime Bond fan who had serious 
	26941	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007: Commentator Chris Klimek is a longtime Bond fan who had serious 
	28459	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007 http://dlvr
	28912	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007 http://dlvr
	28926	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007 http://dlvr
	29026	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007: Commentator Chris Klimek is 
	29060	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007: Commentator Chris Klimek is 
	29471	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007: Commentator Chris Klimek is a longtime Bond
	29472	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007: Commentator Chris Klimek is a longtime Bond
	29473	Commentator Chris Klimek is a longtime Bond fan who had serious doubts about Sam Mendes — an artsy, auteur 
	29474	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007: Commentator Chris Klimek is a longtime Bond
	29476	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007: Commentator Chris Klimek is a longtime Bond
	29478	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007 http://n
	29479	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007: Commentator Chris Klimek is a longtime Bond
	29480	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007 http://n
	29481	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007 http://n
	29790	‘Skyfall’ And An Auteur’s Bond: A Fan Makes Peace With An Artsy 007 http://bit
	29824	‘Skyfall’ And An Auteur’s Bond: A Fan Makes Peace With An Artsy 007 http://bit
	29951	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007: Commentator Chris Klimek is a longtime Bond
	30499	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007 http://n
	30536	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007 http://n
	32922	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007 - WFAE: &#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fa
	32923	US &#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007 - WFA
	32942	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007 - WFAE: &#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fa
	32943	US &#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007 - WFA
	32961	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007 - WFAE: &#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fa
	33676	#ObinnaSpeaks &#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007: Commentator Chris Klimek is a
	33706	#ObinnaSpeaks &#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007: Commentator Chris Klimek is a
	33860	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007 http://ow
	33861	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007 http://ow
	34078	WNYC - &#39;Skyfall&#39; And An Auteur&#39;s Bond - A Fan Makes Peace With An Artsy 007 - WNYC: Fortuna
	34105	WNYC - &#39;Skyfall&#39; And An Auteur&#39;s Bond - A Fan Makes Peace With An Artsy 007 - WNYC: Fortuna
	35136	&#39;Skyfall&#39; And An Auteur&#39;s Bond: A Fan Makes Peace With An Artsy 007: Skyfall, the 23rd canonical James Bond movi

