ntn_yg_skyfall	32
	14256	Yg ga ntn skyfall nyesel lho #eh :p

	14283	Yg ga ntn skyfall nyesel lho #eh :p

	14523	RT @StellaTelli: Yg ga ntn skyfall nyesel lho #eh :p

	14550	RT @StellaTelli: Yg ga ntn skyfall nyesel lho #eh :p

	19170	@nyunyuni ehem yg blg g mau ntn skyfall pas gue yg ajak
	19190	@nyunyuni ehem yg blg g mau ntn skyfall pas gue yg ajak
	20306	@peniitusaya ntn skyfall nanti malah waterfall yg keluar dr mata
	20336	@peniitusaya ntn skyfall nanti malah waterfall yg keluar dr mata
	21326	@yamacarlos ada yg ntn skyfall nih di cibubur jucntion now

	21358	@yamacarlos ada yg ntn skyfall nih di cibubur jucntion now

	21391	Yg pasti sabtu :D RT @putrikrisnaa: Kpn beeebbb RT triaoktasari: Nonton yuuk RT @putrikrisnaa: Skyfall blm ntn
	26208	Ada yg ngajak ntn film SKYFALL bsk
	29703	Ntn rame&quot; bae &quot;@nityarida: Aseekkk :$ RT @darinnda: Cie ditrktir nonton skyfall yee kak ;) RT @fahmiaffaan: Apa yg ga buat

	30990	Traktir e rapel sm yg mo ultah mb :D RT @loga_sastra: Traktir ntn skyfall
	32628	Kan ada yg ntn skyfall brng km,, *ups :p RT @bryan_blee: Iye ntr gw cari cwe
	32660	Kan ada yg ntn skyfall brng km,, *ups :p RT @bryan_blee: Iye ntr gw cari cwe
	32882	&quot;@imo_24: Kan ada yg ntn skyfall brng km,, *ups :p RT

	32885	 RT @imo_24: Kan ada yg ntn skyfall brng km,, *ups :p RT @bryan_blee: Iye ntr gw cari (cont) http://tl
	32926	 RT @imo_24: Kan ada yg ntn skyfall brng km,, *ups :p RT @bryan_blee: Iye ntr gw cari

	32946	 RT @imo_24: Kan ada yg ntn skyfall brng km,, *ups :p RT @bryan_blee: Iye ntr gw cari

	33639	&quot;@imo_24: Kan ada yg ntn skyfall brng km,, *ups :p RT

	33667	&quot;@imo_24: Kan ada yg ntn skyfall brng km,, *ups :p RT

	34085	Blm pernah ntn :( mw ntn ga ad yg bs diajak :p RT @rerenurmalla: Skyfall kurang seru yahh#liriktetanggasebelah @luvecho :)

	34177	Cape dehh RT @luvecho: Blm pernah ntn :( mw ntn ga ad yg bs diajak :p RT @rerenurmalla: Skyfall kurang seru yahh#liriktetanggasebelah

	34865	Abis ntn skyfall, yg dicari langsung soundtracknya, skyfall by adele
	34885	Abis ntn skyfall, yg dicari langsung soundtracknya, skyfall by adele
	35076	nih lagi nyetel~ RT @herampur : Abis ntn skyfall, yg dicari langsung soundtracknya, skyfall by adele
	35099	nih lagi nyetel~ RT @herampur : Abis ntn skyfall, yg dicari langsung soundtracknya, skyfall by adele
	35196	 RT @firmanvanroman: nih lagi nyetel~ RT herampur : Abis ntn skyfall, yg dicari langsung soundtracknya, skyfall by adele
	35220	 RT @firmanvanroman: nih lagi nyetel~ RT herampur : Abis ntn skyfall, yg dicari langsung soundtracknya, skyfall by adele
	35416	 RT firmanvanroman: nih lagi nyetel~ RT herampur : Abis ntn skyfall, yg dicari

	35444	 RT firmanvanroman: nih lagi nyetel~ RT herampur : Abis ntn skyfall, yg dicari


